Protein.IDs	avg log2 H/M	std log2 H/M	P-value	N log2 H/M	avg log2 I	Ratio.H.M.count.b1t1	Ratio.H.M.count.b1t2	Ratio.H.M.count.b1t3	Ratio.H.M.count.b2t1	Ratio.H.M.count.b2t2	Ratio.H.M.count.b2t3	Ratio.H.M.count.b3t1	Ratio.H.M.count.b3t2	Ratio.H.M.count.b3t3	Ratio.H.M.count.total
Serine/threonine-protein phosphatase 1 regulatory subunit 10 [PPP1R10 ...] [Q96QC0 ...]	2.88070166666667	0.519116705083419	0.193564	6	24.3454139638711	0	0	0	4	5	7	1	1	1	19
SH3 domain-binding glutamic acid-rich-like protein [SH3BGRL ...] [O75368 ...]	-0.0571022222222209	0.230347735542255	0.927063	9	26.1808810027702	11	11	10	12	12	11	7	6	7	87
SH3 domain-binding glutamic acid-rich-like protein 3 [SH3BGRL3 ...] [Q9H299 ...]	0.0960388888888887	0.0906048703774307	0.730106	9	27.7267046817023	9	7	8	6	7	6	10	6	7	66
Signal recognition particle 9 kDa protein [SRP9 ...] [P49458 ...]	-0.0950500000000001	0.342702252108152	0.853142	9	26.3016407245366	6	10	7	11	10	9	8	9	8	78
Signal transducer and activator of transcription 1-alpha/beta [STAT1 ...] [P42224 ...]	1.08627	1.53882709347087	0.662323	9	24.7419131408516	1	4	4	0	2	3	2	2	2	20
Small acidic protein [SMAP ...] [O00193 ...]	0.278946666666667	0.788275935174352	0.537606	9	27.0065344555292	18	13	15	14	13	10	11	11	10	115
Small glutamine-rich tetratricopeptide repeat-containing protein alpha [SGTA ...] [O43765 ...]	-1.0572075	1.59821100808507	0.639069	8	25.5123505591017	2	4	3	1	0	0	4	4	2	20
Small nuclear ribonucleoprotein-associated proteins B and B [SNRPB ...] [P14678-3 ...]	-1.08070666666667	0.872724475421654	0.270666	9	26.6385735761836	2	3	3	9	6	6	5	3	3	40
Small nuclear ribonucleoprotein F [SNRPF ...] [P62306 ...]	0.0964377777777787	1.09134666249751	0.927298	9	25.3665840668323	4	3	4	1	3	2	4	3	2	26
Small nuclear ribonucleoprotein G-like protein [SNRPG ...] [A8MWD9 ...]	0.64915	0.546536290743807	0.655672	9	25.0338120566755	3	2	5	4	3	1	3	1	6	28
Small nuclear ribonucleoprotein Sm D2 [SNRPD2 ...] [P62316 ...]	-0.111262222222222	0.871026867937748	0.948435	9	23.9902875682269	1	1	2	4	3	5	4	2	2	24
Small ubiquitin-related modifier 1 [SUMO1 ...] [B8ZZN6 ...]	-0.194557777777777	0.324315351115923	0.617461	9	25.2651654253892	4	6	5	8	4	6	5	5	3	46
Small ubiquitin-related modifier 2 [SUMO2 ...] [P61956 ...]	0.71926	0.795633761538561	0.178061	9	27.5177510757675	5	7	6	7	6	7	5	5	4	52
Small ubiquitin-related modifier 3 [SUMO3 ...] [A8MU27 ...]	0.20817625	0.619140771667535	0.720341	8	22.1832459101083	2	2	0	2	2	2	2	2	1	15
SNW domain-containing protein 1 [SNW1 ...] [Q13573 ...]	0.190374444444444	2.46704996189331	0.924913	9	29.3793186649976	13	13	17	29	24	25	14	16	17	168
Spectrin alpha chain, brain [SPTAN1 ...] [Q13813 ...]	-0.159826666666667	0.51029905325211	0.790311	9	29.6771796042134	142	139	132	59	56	57	115	103	104	907
Sperm-associated antigen 7 [SPAG7 ...] [O75391 ...]	0.220269999999999	0.261622005525148	0.769491	9	24.7094841140908	3	3	3	9	7	4	4	3	4	40
Splicing factor 3A subunit 1 [SF3A1 ...] [Q15459 ...]	-0.105681111111111	0.752827823201368	0.927063	9	25.2645554749848	4	4	6	6	8	10	4	3	3	48
Splicing factor 3B subunit 1 [SF3B1 ...] [O75533 ...]	0.212541111111112	0.25693874135893	0.640995	9	27.2873678461033	21	16	15	24	29	23	20	20	21	189
Splicing factor 3B subunit 2 [SF3B2 ...] [Q13435 ...]	-0.471362222222222	0.313704601527367	0.11708	9	27.158410356026	23	20	21	12	9	10	10	12	8	125
Splicing factor 3B subunit 3 [SF3B3 ...] [Q15393 ...]	-0.843442222222222	1.20377111672836	0.324239	9	24.202287863601	6	4	5	4	4	4	4	4	5	40
Splicing factor 3B subunit 4 [SF3B4 ...] [Q15427 ...]	-0.0867633333333337	0.215364618844415	0.912228	9	24.9530862022928	2	3	3	4	5	6	4	3	4	34
Splicing factor 3B subunit 5 [SF3B5 ...] [Q9BWJ5 ...]	-0.266927777777778	0.516018801735406	0.715399	9	23.5362128445201	1	1	2	2	2	2	3	3	2	18
Splicing factor, proline- and glutamine-rich [SFPQ ...] [P23246 ...]	1.28007777777778	0.248454010924446	0.000214	9	29.7732234480819	53	61	60	78	70	73	62	72	60	589
Stathmin [STMN1 ...] [P16949 ...]	1.17311	0.592795433159703	0.001343	9	26.6300739006729	6	10	11	6	7	8	8	7	8	71
Stress-70 protein, mitochondrial [HSPA9 ...] [P38646 ...]	0.746228888888889	0.364389172569811	0.025319	9	28.734070587316	49	44	53	37	35	40	45	39	47	389
Stress-induced-phosphoprotein 1 [STIP1 ...] [P31948 ...]	-0.176245555555555	0.222054767462393	0.590917	9	29.5318636119729	91	95	87	86	91	90	78	81	77	776
Stromal membrane-associated protein 2 [SMAP2 ...] [Q8WU79 ...]	-1.73763333333333	1.45610361345785	0.16436	9	25.1680204350338	1	3	2	4	6	4	2	2	4	28
Survival of motor neuron-related-splicing factor 30 [SMNDC1 ...] [O75940 ...]	-0.617576666666666	0.296165160214703	0.210992	9	24.9188450568157	3	4	3	6	7	8	4	4	4	43
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 [SMARCE1 ...] [Q969G3 ...]	-0.16258	0.271381717091312	0.884034	8	22.7996579043383	3	3	2	0	2	1	1	2	2	16
Synaptosomal-associated protein 23 [SNAP23 ...] [O00161 ...]	-0.158775555555555	0.494569739700861	0.751732	9	26.1691956636915	7	6	5	5	6	8	6	7	7	57
Synaptosomal-associated protein 29 [SNAP29 ...] [O95721 ...]	-0.28421	0.376196860134425	0.564409	9	24.5817068018102	4	2	3	5	4	7	3	6	4	38
Syntenin-1 [SDCBP ...] [O00560 ...]	2.49683333333333	0.697643157835723	0.000554	9	26.1019533500326	3	2	1	6	5	6	4	5	3	35
T-cell activation Rho GTPase-activating protein [TAGAP ...] [Q8N103 ...]	3.78625777777778	0.39665630600615	1e-06	9	27.4266070247847	9	9	12	5	6	8	8	3	3	63
T-cell differentiation antigen CD6 [CD6 ...] [P30203 ...]	0.717924444444445	0.864370019640188	0.111345	9	24.93159997129	8	8	6	4	5	4	6	5	4	50
T-complex protein 1 subunit beta [CCT2 ...] [P78371 ...]	-0.316708888888889	1.22901650502998	0.850586	9	24.0883543758796	5	3	5	3	7	2	2	1	2	30
T-complex protein 1 subunit epsilon [CCT5 ...] [P48643 ...]	-0.237741111111111	0.685807957475058	0.754566	9	24.6392640488406	6	6	4	5	3	3	3	2	4	36
Talin-1 [TLN1 ...] [Q9Y490 ...]	-0.751065555555555	0.319003754880374	0.024407	9	29.9826751213005	117	129	120	111	107	106	98	100	106	994
Tapasin [TAPBP ...] [O15533-3 ...]	-0.253125555555556	0.238045733426956	0.775645	9	23.3801868923433	2	4	1	5	5	5	3	2	2	29
TATA-binding protein-associated factor 2N [TAF15 ...] [Q92804 ...]	2.68335111111111	0.410318789523598	0	9	28.2823652568232	11	12	11	16	21	13	14	13	10	121
Telomeric repeat-binding factor 2-interacting protein 1 [TERF2IP ...] [Q9NYB0 ...]	0.746605555555556	0.430235779808906	0.504734	9	26.2888139252599	14	14	16	1	3	2	4	4	6	64
Testican-2 [SPOCK2 ...] [F5H283 ...]	-1.03852111111111	0.321082212620244	0.095333	9	24.6643422631866	3	2	4	2	2	1	2	2	1	19
TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 [TAB2 ...] [Q9NYJ8 ...]	0.629078888888889	0.243698468319173	0.272471	9	24.2759153494239	4	3	2	4	4	6	4	5	5	37
Thioredoxin [PDIA3 ...] [H7BZJ3 ...]	-0.527786666666667	0.518602993965518	0.552761	9	23.8442211037012	2	1	1	1	1	2	1	1	1	11
Thioredoxin [TXN ...] [P10599 ...]	-1.30289777777778	0.0847015809737012	0.01175	9	28.2796859572219	11	15	12	20	17	18	14	10	10	127
Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1 [TSTD1 ...] [Q8NFU3 ...]	-0.964345555555555	1.39186047968278	0.381769	9	26.6201640950711	3	5	8	8	5	4	6	5	7	51
THO complex subunit 4 [ALYREF ...] [E9PB61 ...]	-0.141162222222223	0.469721061795662	0.769491	9	25.3679094510596	5	7	5	9	7	7	5	7	5	57
Thymosin beta-10 [TMSB10 ...] [P63313 ...]	0.326574444444444	0.518388281554259	0.5354	9	26.5377163678853	10	9	10	8	9	8	9	10	5	78
Thymosin beta-4 [TMSB4X ...] [P62328 ...]	-0.199307777777778	0.379484099527824	0.552761	9	27.6724655826829	15	16	14	16	14	16	17	16	14	138
TNFAIP3-interacting protein 1 [TNIP1 ...] [Q15025 ...]	-1.34686444444444	0.272949433600397	0.000154	9	26.5169135105722	10	10	9	8	9	11	11	8	9	85
TOX high mobility group box family member 4 [TOX4 ...] [O94842 ...]	0.845446666666667	0.191790541085842	0.051722	9	24.807114988266	5	3	4	3	3	4	4	5	6	37
TRAF-type zinc finger domain-containing protein 1 [TRAFD1 ...] [O14545 ...]	-0.174063333333334	0.471657384973458	0.833734	9	27.4535180966154	21	24	24	14	11	10	18	20	19	161
TRAF family member-associated NF-kappa-B activator [TANK ...] [Q92844 ...]	0.669494444444444	0.543027225332928	0.215533	9	25.1796669237964	4	5	7	9	6	7	7	7	4	56
Transaldolase [TALDO1 ...] [P37837 ...]	1.06348333333333	0.665819837474824	0.133206	9	26.0849152142602	10	8	8	6	6	6	4	4	5	57
Transcription elongation factor A protein 1 [TCEA1 ...] [P23193 ...]	0.0131833333333336	0.616651268668118	0.974566	9	28.3237695539513	36	32	37	38	38	38	41	38	35	333
Transcription elongation factor SPT5 [SUPT5H ...] [O00267 ...]	-0.471567777777778	1.49659713766579	0.775645	9	24.637555971288	2	5	2	6	3	3	4	2	3	30
Transcription elongation regulator 1 [TCERG1 ...] [O14776 ...]	-2.07940666666667	0.271937903757457	2.7e-05	9	26.9075680235469	11	11	13	10	19	14	16	11	13	118
Transcription factor 7 [TCF7 ...] [P36402-5 ...]	0.35911625	0.277002206434611	0.552761	8	23.7927263216492	0	1	1	3	4	3	3	3	3	21
Transcription factor AP-1 [JUN ...] [P05412 ...]	1.43040222222222	0.540676124097823	0.000173	9	29.4745659343335	15	16	15	13	16	16	17	15	15	138
Transcription factor BTF3 [BTF3 ...] [P20290 ...]	0.658887777777777	0.0992252443657581	0.252181	9	27.213675067474	8	6	6	14	16	14	8	7	7	86
Transcription factor BTF3 homolog 4 [BTF3L4 ...] [Q96K17 ...]	0.305792222222223	0.38910721481289	0.707082	9	24.7092887523636	2	2	1	4	5	4	3	3	2	26
Transcription factor HIVEP2 [HIVEP2 ...] [P31629 ...]	-1.27342571428571	0.985033878213625	0.711528	7	25.1316079093619	2	2	1	0	0	1	1	4	0	11
Transcription factor jun-B [JUNB ...] [P17275 ...]	2.52408888888889	0.387425083449835	2.7e-05	9	29.7992013124189	17	17	16	19	18	22	16	21	21	167
Transcription factor jun-D [JUND ...] [P17535 ...]	1.51793666666667	0.337473541222124	0.01943	9	24.6816362386486	2	2	1	2	3	4	2	1	1	18
Transcription factor MafF [MAFF ...] [Q9ULX9 ...]	1.95228111111111	0.227445276519674	0.011629	9	26.5868414083749	3	3	2	7	7	6	5	4	4	41
Transcription initiation factor IIB [GTF2B ...] [Q00403 ...]	0.7603	0.414234722983238	0.242916	9	23.3581636226902	2	1	3	3	2	3	3	3	2	22
Transcription intermediary factor 1-beta [TRIM28 ...] [Q13263 ...]	-1.51348555555556	0.62663060019662	0.130369	9	28.4624047855622	20	22	18	19	19	16	18	19	19	170
Transcriptional repressor p66-alpha [GATAD2A ...] [B5MC40 ...]	-0.39025875	0.39111919766732	0.74918	8	23.5313147679669	1	0	0	6	4	3	3	3	2	22
Transcriptional repressor p66-beta [GATAD2B ...] [Q8WXI9 ...]	0.42967	0.18286522250007	0.397577	9	26.9390150897744	7	7	8	13	13	12	8	10	8	86
Transforming acidic coiled-coil-containing protein 1 [TACC1 ...] [O75410-2 ...]	0.176244444444445	1.12333152432965	0.801267	9	26.1795804281757	14	7	14	6	7	8	9	10	9	84
Transforming acidic coiled-coil-containing protein 3 [TACC3 ...] [Q9Y6A5 ...]	-0.398625555555556	0.753983629532351	0.591164	9	26.612209645442	12	12	12	8	8	12	14	14	15	107
Transgelin-2 [TAGLN2 ...] [P37802 ...]	-0.311254444444445	0.360078874835469	0.377933	9	30.1092721724122	29	32	33	38	39	39	33	28	31	302
Transitional endoplasmic reticulum ATPase [VCP ...] [P55072 ...]	-1.09976444444444	0.525215144110276	0.124287	9	27.1170931930156	16	21	22	9	9	7	15	14	11	124
Translationally-controlled tumor protein [TPT1 ...] [P13693 ...]	1.07971666666667	0.43529157469448	0.301903	9	26.0316231145663	16	12	12	4	5	10	9	6	8	82
Trinucleotide repeat-containing gene 6B protein [TNRC6B ...] [Q9UPQ9 ...]	0.621146666666667	0.758449371546974	0.262646	9	26.1804863552327	9	10	10	14	13	13	8	10	9	96
Triosephosphate isomerase [TPI1 ...] [P60174 ...]	-0.717394444444445	0.396391342712953	0.025319	9	29.1214533627051	41	39	39	39	30	32	37	35	34	326
Tristetraprolin [ZFP36 ...] [P26651 ...]	2.61817111111111	0.660010640168862	2.1e-05	9	28.4204059564159	13	12	17	10	11	11	14	14	13	115
tRNA-splicing ligase RtcB homolog [C22orf28 ...] [Q9Y3I0 ...]	-0.440397777777777	0.28370201959	0.212769	9	24.0193531290552	4	3	3	4	6	5	4	6	2	37
tRNA methyltransferase 112 homolog [TRMT112 ...] [Q9UI30 ...]	0.2249575	0.336721964523933	0.769791	8	23.404586173273	2	2	3	0	2	1	2	2	2	16
Tropomodulin-3 [TMOD3 ...] [Q9NYL9 ...]	0.353474444444444	0.464103642091696	0.591614	9	25.8743621137545	16	15	14	9	7	8	14	14	14	111
Tropomyosin alpha-4 chain [TPM4 ...] [P67936 ...]	-0.0309377777777782	0.767298806818077	0.968543	9	28.7593182632024	23	27	27	30	28	27	27	30	29	248
Tryptophan--tRNA ligase, cytoplasmic [WARS ...] [P23381 ...]	-0.82355	0.291240351685682	0.020575	9	24.6560591711178	3	2	4	4	5	5	4	4	5	36
TSC22 domain family protein 2 [TSC22D2 ...] [O75157 ...]	2.73888222222222	0.530994853030088	0.000406	9	25.1495255082085	5	5	4	2	5	2	2	4	5	34
Tubulin-specific chaperone A [TBCA ...] [O75347 ...]	-1.53515111111111	1.31761463554831	0.102645	9	28.3703070754547	16	12	12	11	12	17	12	12	14	118
Tubulin beta-4B chain [TUBB4B ...] [P68371 ...]	-0.86068	0.582152627130549	0.158541	9	27.9659579926653	23	23	23	19	18	18	20	16	19	179
Tubulin beta chain [TUBB ...] [P07437 ...]	-0.882121111111111	0.486271119784129	0.0717	9	25.6323986843147	6	4	9	6	4	5	6	7	6	53
Tumor necrosis factor alpha-induced protein 3 [TNFAIP3 ...] [P21580 ...]	0.00492111111111152	1.04357461070645	0.995908	9	26.0749561380006	3	4	8	6	7	9	4	5	8	54
Tumor protein D54 [TPD52L2 ...] [Q5JWU6 ...]	-0.799161111111111	1.15499629774779	0.458355	9	26.3028211869269	7	5	4	7	7	7	4	6	4	51
U1 small nuclear ribonucleoprotein A [SNRPA ...] [P09012 ...]	-0.309173333333333	0.881304361670813	0.800896	9	23.6422275169427	2	1	2	6	5	5	1	3	1	26
U1 small nuclear ribonucleoprotein C [SNRPC ...] [P09234 ...]	-0.123074444444445	0.251089317629758	0.863362	9	24.8949635317002	4	4	6	10	9	6	6	5	4	54
U5 small nuclear ribonucleoprotein 200 kDa helicase [SNRNP200 ...] [O75643 ...]	-0.556058888888889	0.868244932341163	0.576186	9	23.6832803961178	4	2	4	2	1	1	2	2	2	20
U6 snRNA-associated Sm-like protein LSm3 [LSM3 ...] [P62310 ...]	-0.000648888888888403	0.292059697812127	1	9	23.7635723722298	5	5	5	5	3	3	3	4	5	38
U6 snRNA-associated Sm-like protein LSm5 [LSM5 ...] [Q9Y4Y9 ...]	-0.423326666666666	0.142454028461816	0.511154	9	24.0556149597026	3	3	3	4	1	2	3	4	3	26
Ubiquilin-1 [UBQLN1 ...] [Q9UMX0 ...]	0.0364966666666674	0.394053684318521	0.948435	9	28.0687431212424	10	12	12	12	14	13	12	9	12	106
Ubiquilin-2 [UBQLN2 ...] [Q9UHD9 ...]	-0.312736666666667	0.2571150579021	0.397577	9	25.5805406226939	3	3	6	4	6	3	4	5	4	38
Ubiquilin-4 [UBQLN4 ...] [Q9NRR5 ...]	-1.09457714285714	0.795123102245061	0.260762	7	20.6502401401888	1	1	1	0	1	1	2	1	0	8
Ubiquitin-40S ribosomal protein S27a [RPS27A ...] [P62979 ...]	0.164424444444445	0.302372792224726	0.626674	9	31.6967029756717	38	38	36	37	36	32	34	32	32	315
Ubiquitin-60S ribosomal protein L40 [UBA52 ...] [P62987 ...]	-1.65029555555556	1.36619451321098	0.101697	9	22.4850710195024	1	2	1	3	3	2	3	2	0	17
Ubiquitin-associated protein 1 [UBAP1 ...] [F5GXE2 ...]	0.969607142857143	0.669139830795583	0.604566	7	23.3333574253307	6	4	4	1	0	0	1	2	3	21
Ubiquitin-associated protein 2-like [UBAP2L ...] [Q14157-5 ...]	-1.24984777777778	0.468215651403757	0.012547	9	27.5077765014737	14	15	15	19	19	20	15	15	13	145
Ubiquitin-conjugating enzyme E2 A [UBE2A ...] [P49459 ...]	0.509651111111111	0.552826375782769	0.74918	9	22.1751547065273	2	1	3	4	2	4	1	1	1	19
Ubiquitin-conjugating enzyme E2 D2 [UBE2D2 ...] [P62837 ...]	0.863936666666667	1.19269002824497	0.720803	9	24.7782153852612	1	3	3	5	2	5	4	1	1	25
Ubiquitin-conjugating enzyme E2 D3 [UBE2D3 ...] [P61077 ...]	0.648727499999999	0.827853240612645	0.529972	8	22.3193997000142	2	3	3	0	2	3	2	1	1	17
Ubiquitin-conjugating enzyme E2 N [UBE2N ...] [P61088 ...]	-0.787518888888889	1.14311213994346	0.324507	9	27.0474492446864	9	8	11	12	11	11	12	11	12	97
Ubiquitin-conjugating enzyme E2 variant 1 [UBE2V1 ...] [Q13404 ...]	-0.327175555555556	0.91253036123615	0.698331	9	25.1517245675937	4	4	5	7	6	6	5	4	5	46
Ubiquitin-conjugating enzyme E2 variant 2 [UBE2V2 ...] [Q15819 ...]	-0.698057777777778	0.697612048343809	0.319182	9	22.5470244881225	1	1	1	1	1	2	2	1	1	11
Ubiquitin/ISG15-conjugating enzyme E2 L6 [UBE2L6 ...] [O14933 ...]	-0.63824875	0.343674221213616	0.242916	8	23.8919263257726	2	3	2	3	2	2	0	3	2	19
UBX domain-containing protein 1 [UBXN1 ...] [Q04323 ...]	-0.0262655555555556	0.357831723897949	0.976741	9	25.8600131054511	11	8	8	11	12	14	8	9	8	89
Uncharacterized protein C12orf35 [C12orf35 ...] [Q9HCM1 ...]	0.593474285714285	1.29180025144315	0.640749	7	22.9335154779701	0	0	1	2	3	2	1	3	4	16
Uncharacterized protein C14orf43 [C14orf43 ...] [Q6PJG2 ...]	1.30516	0.184537371011945	0.003453	9	25.160850067601	4	7	6	6	5	5	7	5	4	49
Uncharacterized protein C9orf78 [C9orf78 ...] [Q9NZ63 ...]	1.11079666666667	0.61102057244417	0.015721	9	26.9108055819688	7	6	9	15	9	12	10	10	10	88
UPF0368 protein Cxorf26 [CXorf26 ...] [Q9BVG4 ...]	-1.58804875	1.45365856106424	0.395031	8	23.3748123586962	2	2	1	0	1	0	3	2	1	12
UPF0667 protein C1orf55 [C1orf55 ...] [Q6IQ49 ...]	0.995768888888888	0.299100619125255	0.03382	9	24.8625132007005	3	5	3	5	4	5	5	8	5	43
UPF0693 protein C10orf32 [C10orf32 ...] [Q96B45 ...]	-1.27979555555556	0.713659285165391	0.30978	9	24.7149468501317	1	2	2	4	1	4	2	3	2	21
UV excision repair protein RAD23 homolog A [RAD23A ...] [P54725 ...]	-2.56572222222222	1.67509089009207	0.015721	9	25.9677163181521	4	3	3	3	4	3	4	4	6	34
UV excision repair protein RAD23 homolog B [RAD23B ...] [P54727 ...]	-0.782356666666665	0.277151195424086	0.010159	9	26.8648780018814	11	8	13	16	14	15	14	14	13	118
V-type proton ATPase subunit B, brain isoform [ATP6V1B2 ...] [P21281 ...]	-0.877636666666667	0.487354663002213	0.263751	9	24.9230433473157	2	1	4	7	5	8	3	4	3	37
V-type proton ATPase subunit G 1 [ATP6V1G1 ...] [O75348 ...]	1.08036777777778	0.440538886898132	0.001552	9	26.616138896974	6	5	6	9	10	9	7	6	5	63
Vasodilator-stimulated phosphoprotein [VASP ...] [P50552 ...]	-0.414014444444445	0.479860121991584	0.283147	9	27.2141974796434	17	14	16	16	13	15	13	16	14	134
Vimentin [VIM ...] [P08670 ...]	0.456162222222222	0.315600114614118	0.466331	9	31.612943098074	146	151	156	82	72	76	135	126	129	1073
WAS/WASL-interacting protein family member 1 [WIPF1 ...] [O43516-3 ...]	0.696714444444444	0.546279500327237	0.068211	9	26.6254379388292	11	10	11	15	14	13	12	12	10	108
Wiskott-Aldrich syndrome protein [WAS ...] [P42768 ...]	0.179035555555555	1.37886921150187	0.936612	9	24.463989816988	4	6	9	2	5	5	4	5	3	43
WW domain-binding protein 2 [WBP2 ...] [Q969T9 ...]	0.513247777777777	0.825784182577048	0.551077	9	25.5215477122316	3	3	3	7	3	4	3	3	3	32
YLP motif-containing protein 1 [YLPM1 ...] [P49750-4 ...]	-0.123805555555556	0.564171303043479	0.858569	9	25.8774744748504	16	10	13	12	8	12	20	16	10	117
YTH domain family protein 2 [YTHDF2 ...] [Q9Y5A9 ...]	0.122997777777778	0.570091274748565	0.927298	9	23.5771845584572	1	1	2	3	1	1	1	3	1	14
Zinc finger CCCH-type antiviral protein 1 [ZC3HAV1 ...] [Q7Z2W4 ...]	0.0794000000000009	0.398361614365641	0.863307	9	25.9684075623037	8	11	11	11	11	11	9	11	9	92
Zinc finger CCCH domain-containing protein 13 [ZC3H13 ...] [Q5T200 ...]	-0.86051	0.968730677252455	0.363624	9	24.5416412195593	5	9	7	3	3	2	5	6	5	45
Zinc finger protein 207 [ZNF207 ...] [H0Y3M2 ...]	-0.0412033333333343	0.201674086585263	0.948435	9	26.72244285033	8	6	6	11	16	13	8	7	7	82
Zinc finger protein 36, C3H1 type-like 1 [ZFP36L1 ...] [Q07352 ...]	2.11281777777778	0.21027006323879	0	9	26.7235482317323	8	7	7	7	5	5	6	4	6	55
Zinc finger protein 36, C3H1 type-like 2 [ZFP36L2 ...] [P47974 ...]	0.54896625	0.565725951649421	0.652359	8	22.8080088719022	2	2	2	4	4	3	2	0	1	20
Zinc finger protein 423 [ZNF423 ...] [Q2M1K9 ...]	4.44233111111111	2.35066452432309	0.012547	9	26.5805769658003	1	1	1	1	1	1	1	1	1	9
Zyxin [ZYX ...] [Q15942 ...]	-1.64765444444444	0.228746460142617	1e-06	9	29.4112730049355	28	36	41	36	40	41	37	34	38	331
